id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4120,2679.834276,2558.659923,3060.655903,3060.655903,3293.005137
4121,2315.270952,2315.270952,1932.843648,1932.843648,2315.270952
4122,2555.959694,2555.959694,2494.231244,2494.231244,2555.959694
4123,3870.232995,3870.232995,3643.707128,3643.707128,3476.041426
4124,755.6723649,755.6723649,755.6723649,755.6723649,755.6723649
4125,2149.1757,2149.1757,1249.643137,1249.643137,4125.323029
4126,656.2972809,656.2972809,656.2972809,656.2972809,5959.538593
4127,1766.405038,1766.405038,1766.405038,1766.405038,1766.405038
4128,1049.16807,1049.16807,1049.16807,530.5944079,2039.952209
4129,595.9430096,595.9430096,595.9430096,1117.90066,3959.158395
4130,1645.05205,1645.05205,1577.756965,1577.756965,5178.496356
4131,1497.655476,1497.655476,1497.655476,1497.655476,8148.458776
4132,4471.462083,4471.462083,4471.462083,4768.109475,3260.829867
4133,2903.831451,2903.831451,1858.673481,1333.238025,5390.871398
4134,3207.648412,3207.648412,2585.602657,2585.602657,8976.038338
4135,3099.499827,3099.499827,1601.613886,1601.613886,5434.493712
4136,4563.05369,4563.05369,3559.616426,3559.616426,7713.497866
4137,2844.463849,2844.463849,1012.307112,1012.307112,5344.62192
4138,3213.453977,3213.453977,2344.67122,2344.67122,4813.71443
4139,3443.904475,3443.904475,2291.733046,2291.733046,8402.283985
4140,3826.856662,3826.856662,3095.045921,3095.045921,8360.014333
4141,662.7758395,662.7758395,211.4381157,211.4381157,2077.396132
4142,3218.638645,3218.638645,3118.501757,3118.501757,8568.496495
4143,2263.871073,2263.871073,1868.04289,1868.04289,4917.807162
4144,2032.300868,2032.300868,2032.300868,2032.300868,2407.668218
4145,3230.610449,3230.610449,3202.342495,3202.342495,8477.068257
4146,1901.859527,1901.859527,1159.376778,1159.376778,5280.747952
4147,1815.164335,1815.164335,1815.164335,1815.164335,1815.164335
4148,629.470872,629.470872,628.5847398,628.5847398,3055.900356
4149,3299.706356,3299.706356,2478.964408,2478.964408,3907.763492
4150,1698.400593,1698.400593,1698.400593,1698.400593,1698.400593
4151,3100.744049,3100.744049,2401.726349,2443.623623,6832.969016
4152,2443.661846,2443.661846,2443.661846,2443.661846,2443.661846
4153,1769.817623,1769.817623,1393.559448,1393.559448,1769.817623
4154,3114.046624,3114.046624,3114.046624,3114.046624,3676.933299
4155,4933.508997,4933.508997,2613.305428,2613.305428,7434.21384
4156,3966.324494,3966.324494,3966.324494,3966.324494,2676.59049
4157,4623.784802,4623.784802,4352.159692,4352.159692,2543.468407
4158,3520.786501,3520.786501,3139.407381,3328.614354,7080.543757
4159,941.4228968,941.4228968,941.4228968,941.4228968,5723.531424
4160,3571.340924,3571.340924,3510.096451,3571.340924,7770.349034
4161,2726.13283,2726.13283,2642.894981,2642.894981,4053.98203
4162,2607.708207,2607.708207,1816.411449,1816.411449,4962.803932
4163,1370.795191,1370.795191,1370.795191,1370.795191,8389.235807
4164,2036.01446,2036.01446,2036.01446,2036.01446,2036.01446
4165,2917.931658,2917.931658,2155.922479,2155.922479,4439.8988
4166,2276.246383,2276.246383,1881.968532,1881.968532,2276.246383
4167,3654.383474,3654.383474,3302.070898,3496.388138,7083.72887
4168,967.9702511,967.9702511,967.9702511,967.9702511,967.9702511
4169,724.8786719,724.8786719,458.8692692,458.8692692,6270.438094
